record,uuid,date,markers,status,vtest,vpanelPartnerId,vnetMRsrc,vsampleSource,noanswerh_age_n99,hINCOME,hGENDER,hAGE,hHOUSEHOLD,hHOUSEHOLD_newr1,hHOUSEHOLD_newr2,hHOUSEHOLD_newr3,hHOUSEHOLD_newr4,hHOUSEHOLD_newr5,hHOUSEHOLD_newr6,hHOUSEHOLD_newr7,hHOUSEHOLD_newr8,hHOUSEHOLD_newr9,hSTATE,Q1r1,Q1r2,Q1r3,Q1r4,Q1r5,Q1r6,Q1r7,Q1r8,Q2,Q3,Q3r17oe,Q4,Q4r9oe,hGroup,Q5r1,Q5r2,Q5r3,Q5r4,Q5r5,Q5r6,Q5r7,Q5r8,Q6,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Q7r6,Q7r7,Q7r8,Q7r9,Q7r10,Q7r11,Q7r12,Q8,Q9r1,Q10r1,Q11,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12r7,Q12r8,Q12r9,Q12r10,Q12r11,Q12r12,Q12r13,Q12r14,Q12r15,Q12r16,Q12r17,Q12r16oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13r12,Q13r13,Q13r14,Q13r15,Q13r16,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r7,Q14r8,Q14r9,Q14r10,Q14r11,Q14r12,Q14r13,Q14r14,Q14r15,Q15r1,Q15r2,Q15r3,Q15r4,Q15r5,Q15r6,Q15r7,Q15r8,Q15r9,Q15r10,Q15r11,Q15r12,Q15r13,Q15r14,Q15r15,Q16r1,Q16r2,Q16r3,Q16r4,Q16r5,Q16r6,Q16r7,Q16r8,Q16r9,Q16r8oe,Q17r1,Q17r2,Q17r3,Q17r4,Q17r5,Q17r6,Q17r7,Q17r8,Q17r9,Q17r10,Q17r11,Q17r12,Q17r13,Q17r14,Q17r15,Q17r16,Q17r14oe,Q18r1,Q18r2,Q18r3,Q18r4,Q19,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9,Q20r10,Q20r11,Q20r12,Q20r13,Q20r14,Q20r17,Q20r15,Q20r16,Q20r15oe,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,nweightweight2,nweightweight1,nweightweight3,vdropout,ssc,source,list,url,exitURL,ipAddress,userAgent,panelPartnerId,l,countryCode,i,batchno,test,ac,sn,lang,gmid,gh,netMRsrc,sourceid,x,y,uid,sampleSource,h,r,pp,dcua,supplierID,session,rid,fedResponseID,RISN
8,k1kutyhg3rtuqbux,2018-09-27 11:04:37,"/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,105,2,6,4,,,,,,,,,,45,1,1,1,1,1,1,1,0,1,12,,1,,4,3,4,4,4,2,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,"To check and make sure of what it cover, when a problem arises ",Check my benefits and the co-pay,3,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,4,,,,,,4,4,4,,4,,,3,4,4,3,2,3,3,4,4,4,4,3,4,3,4,4,4,1,1,0,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,,0,1,1,0,2,,,,,,,,,,,,,,,,,,,2,700.1632531,12,,13,,1,1,2018-09-27 10:53:07,0.187453184,0.187453184,0.187453184,,bef97ac84ab8e74f95c9452fdef33558,,1,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77;LightspeedMobileExperience",,,US,,,,3f2f27a82b135aaa,607252,E,41658346,,,GTM,66,2,,gtm,105,45,4,si,,38epurxjd2b8wuyb,,,
11,rcv4ee3wf8cc9pb2,2018-09-27 11:17:52,"/overall/Total,/overall/option1,Total,20180927_11:16_v2,qualified",3,2,,3,2,,112,1,6,1,,,,,,,,,,37,1,0,1,1,1,0,0,0,2,13,,2,,1,1,4,3,2,99,99,4,4,2,1,1,1,3,1,1,1,99,4,1,2,1,1,check claims,no,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,1,1,3,1,4,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,384.9954219,13,,11,,5,6,2018-09-27 11:11:37,1.73962963,1.73962963,1.73962963,,0b55a191386384698ce1ddf8da264627,,1,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Safari/605.1.15",,,US,,,,d4a215e7f62b9409,607252,E,17987886,,,GTM,67,1,,gtm,112,37,1,..,,hk7gdbgb7fumm6n0,,,
14,9hx22e6b05u1wmbj,2018-09-27 11:27:11,"20180927_11:16_v2,/overall/Total,/overall/option1,Total,qualified",3,2,,3,2,,112,2,5,,1,0,1,0,0,0,0,0,0,36,1,1,1,0,1,1,0,0,2,11,,2,,1,2,3,2,3,2,1,2,2,4,2,1,1,3,3,3,3,2,3,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,2,1,3,1,3,2,3,3,3,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,3,,,,,,,,,,,,,,,,,,,2,166.6198764,4,,10,,5,6,2018-09-27 11:24:32,1.73962963,1.73962963,1.73962963,,4db6dfe9e142409d29b2232cd3fc112d,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,ffa922e1ea821313,607252,E,12083311,,,GTM,58,2,,gtm,112,36,"1,3",..,,8mngrm9pfrq3refg,,,
23,d0qgp8q4j85tq5ur,2018-09-27 11:34:00,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,108,1,6,,1,0,1,0,0,0,0,0,0,48,1,1,1,0,1,1,0,0,1,12,,6,,4,4,4,4,4,1,3,4,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,To check providers in network.,Nothing,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,4,,,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,409.8229523,14,,10,,1,2,2018-09-27 11:27:18,0.187453184,0.187453184,0.187453184,,aee3ba5c7f37c1d48dfa24a9286a369f,,1,,,,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930V Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36",,,US,,,,82c2da177cdb7568,607252,E,19840387,,,GTM,75,1,,gtm,108,48,"1,3",sa,,7x6pk8fbujky79r3,,,
22,hj5b3y1knrjz88y0,2018-09-27 11:45:15,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,110,1,6,,1,0,0,0,0,0,0,0,0,13,1,0,1,1,1,1,0,0,2,7,,1,,4,4,4,4,4,1,4,4,4,2,4,1,1,1,4,1,1,1,1,1,1,1,1,Check deductions and coverage ,Get instant approval ,4,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,,4,,4,,4,,,,4,,4,,,,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,1,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,1119.747198,12,,11,,3,1,2018-09-27 11:26:45,0.187453184,0.187453184,0.187453184,,c8b400957d2fdc2551cef34a078ac671,,1,,,,"Mozilla/5.0 (iPad; CPU OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",,,US,,,,1a7514a05d2fed53,607252,E,38118425,,,GTM,79,1,,gtm,110,13,1,ti,,rrsxq0vytpq3bsyb,,,
38,a67xfbc7gpzmpjbe,2018-09-27 11:35:08,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,108,2,6,,1,0,0,0,0,0,0,0,0,26,1,1,1,0,1,1,0,0,2,7,,3,,2,1,4,4,4,99,99,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,134.090359,4,,10,,5,6,2018-09-27 11:32:58,0.639908676,0.639908676,0.639908676,,15082526933af8d252259175407eb9f3,,1,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,655fb11324378e43,607252,E,21882944,,,GTM,77,2,,gtm,108,26,1,..,,b0tf1sf00mrfdv0e,,,
30,z4pjt4hs0ynvm30s,2018-09-27 11:40:55,"20180927_11:16_v2,/overall/Total,/overall/option1,Total,qualified",3,2,,3,2,,109,1,6,,1,0,0,0,0,0,0,0,0,48,1,1,1,1,1,1,0,0,2,11,,2,,1,1,4,3,3,2,99,3,4,3,1,1,1,3,4,3,1,99,3,2,1,99,1,check on cost of  procedure,nothing,3,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,,3,,,,3,,,4,,4,,4,3,4,4,3,1,4,3,3,4,3,4,3,4,4,4,4,4,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,663.9972308,4,,10,,5,6,2018-09-27 11:29:59,1.73962963,1.73962963,1.73962963,,1c59562dbb602c4a39b8b7e1faa37b54,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,aed1724822345614,607252,E,18264679,,,GTM,74,1,,gtm,109,48,1,..,,0p705dh4ga4bhe3e,,,
32,dj08s8073seyn3gd,2018-09-27 11:41:32,"20180927_11:16_v2,/overall/Total,/overall/option1,Total,qualified",3,2,,3,2,,99998,2,5,,1,0,0,0,0,0,0,0,0,9,1,1,1,0,1,1,0,0,4,7,,2,,1,2,3,3,3,99,99,3,4,2,1,1,1,2,1,1,1,99,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,662.3021133,12,,11,,3,1,2018-09-27 11:30:36,1.73962963,1.73962963,1.73962963,,dfe46017cc462a9894c9534136326479,,1,,,,"Mozilla/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",,,US,,,,97c28e39fb16b722,607252,E,13400118,,,GTM,61,2,,gtm,99998,9,1,ti,,y02y42fadqz2yt2k,,,
41,hzyab2eksnc3pyx9,2018-09-27 11:41:58,"20180927_11:16_v2,/overall/Total,/overall/option1,Total,qualified",3,2,,3,2,,107,1,6,,1,0,1,0,0,0,0,0,0,39,1,1,1,1,1,1,0,0,1,13,,2,,1,3,4,4,4,1,99,4,4,2,1,1,1,1,1,1,1,99,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2,1,4,4,2,4,3,4,3,1,4,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,397.5484173,8,,10,,5,6,2018-09-27 11:35:25,1.73962963,1.73962963,1.73962963,,af5404cd80949a09c96f3b84f2b5d252,,1,,,,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,,US,,,,9a889bbf2e5d4cda,607252,E,19992584,,,GTM,87,1,,gtm,107,39,"1,3",..,,gv2qxkb3x30fa4zc,,,
53,wcdqhc9hfgbu5qv2,2018-09-27 11:49:17,"20180927_11:16_v2,/overall/Total,/overall/option1,Total,qualified",3,2,,3,2,,111,2,6,,1,0,0,0,0,0,0,0,0,53,1,1,1,0,1,1,0,0,2,7,,2,,1,2,4,4,4,1,3,4,4,2,1,1,1,3,1,1,1,99,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,3,2,2,3,1,2,3,3,3,3,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,277.7166698,4,,2,,5,6,2018-09-27 11:44:46,1.73962963,1.73962963,1.73962963,,741fc3ad2151e0aac54b65d95f427159,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",,,US,,,,9c5babee42a7d673,607252,E,22438997,,,GTM,78,2,,gtm,111,53,1,..,,8ztexe7dfx6y4wbn,,,
